Seconds,Value.X,Value.Y,Value.Z,Value.Length,Value.LengthFast,Value.LengthSquared
2.0910000000000002,0,0,0,0,5.04591063E-20,0
3.2109999999999999,0,0,0.120000005,0.120000005,0.120156184,0.0144000007
3.2109999999999999,0,0,0.24000001,0.24000001,0.240312368,0.0576000027
3.2429999999999999,0,0,0.360000014,0.360000014,0.360178381,0.129600003
3.2749999999999999,0,0,0.480000019,0.480000019,0.480624735,0.230400011
3.3069999999999999,0,0,0.600000024,0.600000024,0.600686133,0.360000014
3.331,0,0,0.720000029,0.720000029,0.720356762,0.518400013
3.363,0,0,0.840000033,0.840000033,0.841189981,0.705600083
3.6989999999999998,0,0,0.960000038,0.960000038,0.961249471,0.921600044
3.7389999999999999,0,0,1.08000004,1.08000004,1.08000326,1.16640007
3.7629999999999999,0,0,1.20000005,1.20000005,1.20137227,1.44000006
3.7869999999999999,0,0,1.32000005,1.32000005,1.321854,1.74240017
3.8109999999999999,0,0,1.44000006,1.44000006,1.44071352,2.07360005
3.827,0,0,1.56000006,1.56000006,1.5625428,2.43360019
3.851,0,0,1.68000007,1.68000007,1.68237996,2.82240033
4.1070000000000002,0,0,1.80000007,1.80000007,1.80028224,3.24000025
4.1550000000000002,0,0,1.92000008,1.92000008,1.92249894,3.68640018
4.1870000000000003,0,0,2.03999996,2.03999996,2.04186106,4.16159964
4.2030000000000003,0,0,2.15999985,2.15999985,2.16000605,4.66559935
4.2110000000000003,0,0,2.27999973,2.27999973,2.28089261,5.19839859
4.2270000000000003,0,0,2.39999962,2.39999962,2.40274405,5.75999832
4.2670000000000003,0,0,2.5199995,2.5199995,2.52400422,6.35039759
4.5309999999999997,0,0,2.63999939,2.63999939,2.64370751,6.96959686
4.5709999999999997,0,0,2.75999928,2.75999928,2.76190543,7.61759615
4.5869999999999997,0,0,2.87999916,2.87999916,2.88142633,8.29439545
4.5949999999999998,0,0,2.99999905,2.99999905,3.00342798,8.99999428
4.6109999999999998,0,0,3.11999893,3.11999893,3.1250844,9.73439312
4.6509999999999998,0,0,3.23999882,3.23999882,3.24563813,10.497592
4.6829999999999998,0,0,3.3599987,3.3599987,3.36475849,11.2895908
4.9630000000000001,0,0,3.47999859,3.47999859,3.48271775,12.1103897
4.9710000000000001,0,0,3.59999847,3.59999847,3.60056257,12.9599886
5.0030000000000001,0,0,3.71999836,3.71999836,3.72028518,13.8383875
5.0110000000000001,0,0,3.83999825,3.83999825,3.84499621,14.7455864
5.0350000000000001,0,0,3.95999813,3.95999813,3.96663499,15.6815853
5.0670000000000002,0,0,4.07999802,4.07999802,4.08372021,16.6463833
5.3390000000000004,0,0,4.1999979,4.1999979,4.20095778,17.6399822
5.3470000000000004,0,0,4.31999779,4.31999779,4.32001066,18.6623802
5.3630000000000004,0,0,4.43999767,4.43999767,4.44043589,19.7135792
5.3789999999999996,0,0,4.55999756,4.55999756,4.56178284,20.7935772
5.3949999999999996,0,0,4.67999744,4.67999744,4.68360662,21.9023762
5.4269999999999996,0,0,4.79999733,4.79999733,4.80548668,23.0399742
5.4589999999999996,0,0,4.91999722,4.91999722,4.9270525,24.2063732
5.7149999999999999,0,0,5.0399971,5.0399971,5.04800653,25.4015713
5.7469999999999999,0,0,5.15999699,5.15999699,5.16815042,26.6255684
5.7709999999999999,0,0,5.27999687,5.27999687,5.28741264,27.8783665
5.7949999999999999,0,0,5.39999676,5.39999676,5.40587759,29.1599655
5.819,0,0,5.51999664,5.51999664,5.52380848,30.4703636
5.835,0,0,5.63999653,5.63999653,5.64168024,31.8095608
5.883,0,0,5.75999641,5.75999641,5.76285028,33.1775589
6.1550000000000002,0,0,5.8799963,5.8799963,5.88481951,34.5743561
6.1790000000000003,0,0,5.99999619,5.99999619,6.00685358,35.9999542
6.2030000000000003,0,0,6.11999607,6.11999607,6.12870741,37.4543533
6.2030000000000003,0,0,6.23999596,6.23999596,6.25016737,38.9375496
6.2270000000000003,0,0,6.35999584,6.35999584,6.3710618,40.4495468
6.2670000000000003,0,0,6.47999573,6.47999573,6.49127436,41.990345
6.5549999999999997,0,0,6.35999584,6.35999584,6.3710618,40.4495468
6.5789999999999997,0,0,6.23999596,6.23999596,6.25016737,38.9375496
6.5949999999999998,0,0,6.11999607,6.11999607,6.12870741,37.4543533
6.6029999999999998,0,0,5.99999619,5.99999619,6.00685358,35.9999542
6.6189999999999998,0,0,5.8799963,5.8799963,5.88481951,34.5743561
6.6269999999999998,0,0,5.75999641,5.75999641,5.76285028,33.1775589
6.6429999999999998,0,0,5.63999653,5.63999653,5.64168024,31.8095608
6.6829999999999998,0,0,5.51999664,5.51999664,5.52380848,30.4703636
6.883,0,0,5.39999676,5.39999676,5.40587759,29.1599655
6.907,0,0,5.27999687,5.27999687,5.28741264,27.8783665
6.915,0,0,5.15999699,5.15999699,5.16815042,26.6255684
6.931,0,0,5.0399971,5.0399971,5.04800653,25.4015713
6.9470000000000001,0,0,4.91999722,4.91999722,4.9270525,24.2063732
6.9550000000000001,0,0,4.79999733,4.79999733,4.80548668,23.0399742
6.9630000000000001,0,0,4.67999744,4.67999744,4.68360662,21.9023762
7.1710000000000003,0,0,4.55999756,4.55999756,4.56178284,20.7935772
7.1950000000000003,0,0,4.43999767,4.43999767,4.44043589,19.7135792
7.1950000000000003,0,0,4.31999779,4.31999779,4.32001066,18.6623802
7.2110000000000003,0,0,4.1999979,4.1999979,4.20095778,17.6399822
7.2270000000000003,0,0,4.07999802,4.07999802,4.08372021,16.6463833
7.2590000000000003,0,0,3.95999813,3.95999813,3.96663499,15.6815853
7.4429999999999996,0,0,3.83999825,3.83999825,3.84499621,14.7455864
7.4589999999999996,0,0,3.71999836,3.71999836,3.72028518,13.8383875
7.4669999999999996,0,0,3.59999847,3.59999847,3.60056257,12.9599886
7.4669999999999996,0,0,3.47999859,3.47999859,3.48271775,12.1103897
7.4829999999999997,0,0,3.3599987,3.3599987,3.36475849,11.2895908
7.5069999999999997,0,0,3.23999882,3.23999882,3.24563813,10.497592
7.7069999999999999,0,0,3.11999893,3.11999893,3.1250844,9.73439312
7.7309999999999999,0,0,2.99999905,2.99999905,3.00342798,8.99999428
7.7309999999999999,0,0,2.87999916,2.87999916,2.88142633,8.29439545
7.7469999999999999,0,0,2.75999928,2.75999928,2.76190543,7.61759615
7.7549999999999999,0,0,2.63999939,2.63999939,2.64370751,6.96959686
7.7629999999999999,0,0,2.5199995,2.5199995,2.52400422,6.35039759
7.9870000000000001,0,0,2.39999962,2.39999962,2.40274405,5.75999832
7.9950000000000001,0,0,2.27999973,2.27999973,2.28089261,5.19839859
8.0030000000000001,0,0,2.15999985,2.15999985,2.16000605,4.66559935
8.0190000000000001,0,0,2.03999996,2.03999996,2.04186106,4.16159964
8.0269999999999992,0,0,1.91999996,1.91999996,1.92249894,3.68639994
8.0510000000000002,0,0,1.79999995,1.79999995,1.80028212,3.23999977
8.2349999999999994,0,0,1.67999995,1.67999995,1.68237972,2.82239985
8.2430000000000003,0,0,1.55999994,1.55999994,1.56254268,2.43359971
8.2509999999999994,0,0,1.43999994,1.43999994,1.44071341,2.07359982
8.2669999999999995,0,0,1.31999993,1.31999993,1.321854,1.74239981
8.2750000000000004,0,0,1.19999993,1.19999993,1.20137215,1.43999982
8.2829999999999995,0,0,1.07999992,1.07999992,1.08000302,1.16639984
9.5470000000000006,0,0,0.959999919,0.959999919,0.961249352,0.921599865
9.5790000000000006,0,0,0.839999914,0.839999914,0.841189802,0.705599844
9.5950000000000006,0,0,0.719999909,0.719999909,0.720356703,0.518399894
9.6029999999999998,0,0,0.599999905,0.599999905,0.600686014,0.359999895
9.6270000000000007,0,0,0.4799999,0.4799999,0.480624646,0.230399907
9.6590000000000007,0,0,0.359999895,0.359999895,0.360178292,0.129599929
9.907,0,0,0.4799999,0.4799999,0.480624646,0.230399907
9.9149999999999991,0,0,0.599999905,0.599999905,0.600686014,0.359999895
9.9309999999999992,0,0,0.719999909,0.719999909,0.720356703,0.518399894
9.9550000000000001,0,0,0.839999914,0.839999914,0.841189802,0.705599844
9.9710000000000001,0,0,0.959999919,0.959999919,0.961249352,0.921599865
10.026999999999999,0,0,1.07999992,1.07999992,1.08000302,1.16639984
